wall_ts,node,seq,sample_index,value
1778045170.44023,1,589,30,65535
1778045170.44023,1,589,31,65535
1778045170.648545,1,590,0,65535
1778045170.648545,1,590,1,65535
1778045170.648545,1,590,2,65535
1778045170.648545,1,590,3,65535
1778045170.648545,1,590,4,65535
1778045170.648545,1,590,5,65535
1778045170.648545,1,590,6,65535
1778045170.648545,1,590,7,65535
1778045170.648545,1,590,8,65535
1778045170.648545,1,590,9,65535
1778045170.648545,1,590,10,65535
1778045170.648545,1,590,11,65535
1778045170.648545,1,590,12,65535
1778045170.648545,1,590,13,65535
1778045170.648545,1,590,14,65535
1778045170.648545,1,590,15,65535
1778045170.648545,1,590,16,65535
1778045170.648545,1,590,17,65535
1778045170.648545,1,590,18,65535
1778045170.648545,1,590,19,65535
1778045170.648545,1,590,20,65535
1778045170.648545,1,590,21,65535
1778045170.648545,1,590,22,65535
1778045170.648545,1,590,23,65535
1778045170.648545,1,590,24,65535
1778045170.648545,1,590,25,65535
1778045170.648545,1,590,26,65535
1778045170.648545,1,590,27,65535
1778045170.648545,1,590,28,65535
1778045170.648545,1,590,29,65535
1778045170.648545,1,590,30,65535
1778045170.648545,1,590,31,65535
1778045170.7521899,1,591,0,65535
1778045170.7521899,1,591,1,65535
1778045170.7521899,1,591,2,65535
1778045170.7521899,1,591,3,65535
1778045170.7521899,1,591,4,65535
1778045170.7521899,1,591,5,65535
1778045170.7521899,1,591,6,65535
1778045170.7521899,1,591,7,65535
1778045170.7521899,1,591,8,65535
1778045170.7521899,1,591,9,65535
1778045170.7521899,1,591,10,65535
1778045170.7521899,1,591,11,65535
1778045170.7521899,1,591,12,65535
1778045170.7521899,1,591,13,65535
1778045170.7521899,1,591,14,65535
1778045170.7521899,1,591,15,65535
1778045170.7521899,1,591,16,65535
1778045170.7521899,1,591,17,65535
1778045170.7521899,1,591,18,65535
1778045170.7521899,1,591,19,65535
1778045170.7521899,1,591,20,65535
1778045170.7521899,1,591,21,65535
1778045170.7521899,1,591,22,65535
1778045170.7521899,1,591,23,65535
1778045170.7521899,1,591,24,65535
1778045170.7521899,1,591,25,65535
1778045170.7521899,1,591,26,65535
1778045170.7521899,1,591,27,65535
1778045170.7521899,1,591,28,65535
1778045170.7521899,1,591,29,65535
1778045170.7521899,1,591,30,65535
1778045170.7521899,1,591,31,65535
1778045170.856809,1,592,0,65535
1778045170.856809,1,592,1,65535
1778045170.856809,1,592,2,65535
1778045170.856809,1,592,3,65535
1778045170.856809,1,592,4,65535
1778045170.856809,1,592,5,65535
1778045170.856809,1,592,6,65535
1778045170.856809,1,592,7,65535
1778045170.856809,1,592,8,65535
1778045170.856809,1,592,9,65535
